date;count;total_count;ratio
2008-01-01;0;131;0
2008-01-02;0;169;0
2008-01-03;0;136;0
2008-01-04;0;184;0
2008-01-05;0;100;0
2008-01-06;0;109;0
2008-01-07;0;163;0
2008-01-08;0;239;0
2008-01-09;0;218;0
2008-01-10;0;246;0
2008-01-11;0;200;0
2008-01-12;0;135;0
2008-01-13;0;133;0
2008-01-14;0;214;0
2008-01-15;0;212;0
2008-01-16;0;226;0
2008-01-17;0;199;0
2008-01-18;0;232;0
2008-01-19;0;144;0
2008-01-20;0;165;0
2008-01-21;0;190;0
2008-01-22;0;234;0
2008-01-23;0;258;0
2008-01-24;0;244;0
2008-01-25;0;241;0
2008-01-26;0;121;0
2008-01-27;0;148;0
2008-01-28;0;231;0
2008-01-29;0;234;0
2008-01-30;0;216;0
2008-01-31;0;193;0
2008-02-01;0;210;0
2008-02-02;1;117;0.008547008547008548
2008-02-03;0;131;0
2008-02-04;0;228;0
2008-02-05;1;219;0.0045662100456621
2008-02-06;0;187;0
2008-02-07;0;230;0
2008-02-08;0;197;0
2008-02-09;0;136;0
2008-02-10;0;201;0
2008-02-11;0;238;0
2008-02-12;0;250;0
2008-02-13;0;261;0
2008-02-14;0;227;0
2008-02-15;0;235;0
2008-02-16;0;114;0
2008-02-17;0;106;0
2008-02-18;0;215;0
2008-02-19;0;225;0
2008-02-20;0;278;0
2008-02-21;0;264;0
2008-02-22;0;241;0
2008-02-23;0;124;0
2008-02-24;0;143;0
2008-02-25;0;235;0
2008-02-26;0;235;0
2008-02-27;0;236;0
2008-02-28;0;238;0
2008-02-29;0;201;0
2008-03-01;0;190;0
2008-03-02;0;142;0
2008-03-03;0;250;0
2008-03-04;0;225;0
2008-03-05;0;226;0
2008-03-06;0;241;0
2008-03-07;0;203;0
2008-03-08;0;120;0
2008-03-09;0;156;0
2008-03-10;0;275;0
2008-03-11;0;278;0
2008-03-12;0;290;0
2008-03-13;1;251;0.00398406374501992
2008-03-14;0;218;0
2008-03-15;0;92;0
2008-03-16;0;119;0
2008-03-17;0;236;0
2008-03-18;0;267;0
2008-03-19;0;253;0
2008-03-20;0;211;0
2008-03-21;0;214;0
2008-03-22;0;109;0
2008-03-23;0;127;0
2008-03-24;0;229;0
2008-03-25;0;233;0
2008-03-26;0;239;0
2008-03-27;0;229;0
2008-03-28;0;375;0
2008-03-29;0;117;0
2008-03-30;0;149;0
2008-03-31;0;257;0
2008-04-01;1;350;0.002857142857142857
2008-04-02;0;318;0
2008-04-03;0;332;0
2008-04-04;1;300;0.0033333333333333335
2008-04-05;0;138;0
2008-04-06;0;179;0
2008-04-07;0;333;0
2008-04-08;0;343;0
2008-04-09;0;356;0
2008-04-10;0;364;0
2008-04-11;0;1761;0
2008-04-12;0;206;0
2008-04-13;0;177;0
2008-04-14;0;335;0
2008-04-15;0;1418;0
2008-04-16;0;339;0
2008-04-17;0;341;0
2008-04-18;0;333;0
2008-04-19;0;195;0
2008-04-20;0;227;0
2008-04-21;0;349;0
2008-04-22;0;414;0
2008-04-23;0;400;0
2008-04-24;0;429;0
2008-04-25;0;405;0
2008-04-26;0;215;0
2008-04-27;0;339;0
